state,region,updated_region
alabama,jacksons gap,jackson's gap
alaska,clarks point,clark's point
arizona,dewey,dewey-humboldt
arizona,pinetop,pinetop-lakeside
arkansas,fifty six,fifty-six
arkansas,garland city,garland
arkansas,helena,helena-west helena
arkansas,state university,arkansas state university
california,california polytechnic state university slo,california polytechnic state university
california,carmel,carmel-by-the-sea
florida,hallandale,hallandale beach
florida,howey in the hills,howey-in-the-hills
georgia,la fayette,lafayette
hawaii,waikoloa,waikoloa village
illinois,alvin,alvan
iowa,decatur,decatur city
iowa,jewel,jewell junction
kansas,gove,gove city
kansas,johnson,johnson city
kentucky,la fayette,lafayette
kentucky,lexington,lexington-fayette urban county
kentucky,mayslick,may's lick
kentucky,neon,fleming-neon
louisiana,keatchie,keachi
louisiana,newllano,new llano
maine,dover foxcroft,dover-foxcroft
maryland,lansdowne-baltimore highlands,lansdowne
maryland,luthervile-timonium,luthervile
maryland,port tobacco,port tobacco village
maryland,suitland-silver hill,suitland
maryland,tilghman,tilghman island
maryland,wheaton-glenmont,wheaton
michigan,lanse,l'anse
michigan,leroy,le roy
michigan,mcbrides,mcbride
minnesota,iron,iron junction
minnesota,redlake,red lake
missouri,bois d arc,bois d'arc
missouri,flinthill,flint hill
missouri,glenallen,glen allen
missouri,green castle,greencastle
missouri,half way,halfway
missouri,south west city,southwest city
nebraska,greeley,greeley center
nebraska,oneill,o'neill
nevada,cal nev ari,cal-nev-ari
nevada,silverpeak,silver peak
